question_id,question,gold_section,gold_answer,category,confidence,verify_url,notes
q044,"What is the minimum lot area for the Estates (E) zoning district under Collier County LDC 4.02.01 Table 1?","Collier County LDC Sec. 4.02.01","98,010 square feet (2.25 acres), with a minimum lot width of 150 linear feet, per Table 1 (Lot Design Requirements for Principal Uses in Base Zoning Districts) of LDC 4.02.01.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code?nodeId=CH4SIDEDEST,"Verified against data/corpus/collier_ch4_4.02.01.pdf 2026-07-10 (Table 1, E row: 98,010 sq ft / 150 ft)."
q036,"During sea turtle nesting season in Collier County, within how many feet of the nesting zone of a beach is it unlawful to construct a structure, add fill, mechanically clean the beach, or grade dirt without a permit?","Collier County LDC Sec. 3.04.02","Within 100 feet of the nesting zone. LDC 3.04.02(B)(5) (Species Specific Requirements - Sea Turtle Protection) makes it unlawful during nesting season to construct any structure, add fill, mechanically clean any beach, or grade dirt within 100 feet of the nesting zone of a beach where sea turtles nest or may nest, without obtaining a construction in sea turtle nesting area permit from the County Manager or designee.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code,"Verified against Ordinance 2024-11 amendment text (data/corpus/collier_ch3_3.04.02.pdf - note: that PDF is actually Ord. 2024-11, which amends LDC 3.04.02). Original dates/lighting question replaced: May 1-Oct 31 dates were only sourced from collierparks.com, not the code text."
q037,"[DROPPED] How far above the base flood elevation must flood panels protect a non-residential building, per City of Naples floodplain requirements?","City of Naples (no codified anchor found)","DROPPED: the naplesgov.com property-protection page describes floodproofing guidance but provides no code section, and the wet-floodproofing text reviewed contains no flood-panel elevation requirement. Do not promote.",jurisdiction_amendment,DROPPED,https://www.naplesgov.com/building/page/property-protection,"Dropped 2026-07-10: no codified City of Naples section found to anchor the gold answer."
q038,"Under Collier County's flood ordinance, to what elevation must mechanical, plumbing, and electrical systems be elevated for a detached accessory structure permitted below the base flood elevation?","Collier County Code Sec. 62-80","To or above the base flood elevation plus one (1) foot. Sec. 62-80 permits detached accessory structures used only for parking or storage below the BFE provided (among other conditions) they resist flotation/collapse/lateral movement, use flood damage-resistant materials below BFE plus one foot, have mechanical, plumbing and electrical systems (including plumbing fixtures) elevated to or above BFE plus one foot, and the owner signs a Declaration of Land Restriction (non-conversion agreement).",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH62FL,"Verified against Ch. 62 PDF (data/corpus/collier_ch62.pdf). BFE+1ft appears in Sec. 62-80 (accessory structures) and Sec. 62-77 (variance conditions); the general exterior-equipment rule defers to FBC-R R322.1.6 / FBC-B 1612 (ASCE 24)."
q039,"Under Collier County's local FBC exemptions for detached single-family residences, what is the maximum value of non-structural repair work by a licensed contractor that is exempt from a building permit?","FBC 105.2.4 (Collier County Sec. 22-26)","$1,500.00 in labor and materials. Collier County's added FBC Section 105.2.4 exempts repair work by licensed contractors that is not structural, does not change occupancy, does not affect life safety, and does not exceed $1,500 in value (the same $1,500 threshold applies per trade for electrical, plumbing, and mechanical repair work).",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-26ADADFLBUCO,"Verified against Municode text 2026-07-09. Strong numeric + jurisdiction question: this threshold exists ONLY in the local amendment, not in the statewide FBC."
q040,"What is the maximum drywall repair area exempt from a building permit under Collier County's local amendments to FBC 105.2?","FBC 105.2 (Collier County Sec. 22-26)","Drywall repair/replacement that is not fire-related and does not exceed two sheets of drywall (64 sq. ft.) is exempt from permit under Collier County's local additions to FBC 105.2.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-26ADADFLBUCO,"Verified against Municode text 2026-07-09."
q041,"Within how many days of the foundation inspection must the permit holder submit a spot survey of the building foundation, under Collier County's local amendment to FBC 110.3?","FBC 110.3 (Collier County Sec. 22-26)","Within 10 calendar days of the foundation inspection, the permit holder must submit a spot survey depicting the building foundation to the authority having jurisdiction, prepared by or under the direct supervision of a Florida Registered land surveyor.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-26ADADFLBUCO,"Verified against Municode text 2026-07-09. Distinct from existing q013 (elevation certification in flood hazard areas) — this is the Collier-specific spot-survey requirement."
q042,"In addition to adopting the 2023 Florida Building Code, what wind-related local content did Collier County Ordinance 2023-64 incorporate as its Exhibit A?","Collier County Ordinance 2023-64, Section Two","Updated local Wind Zone Maps for Collier County (Categories 1 through 4), depicting wind speeds in 1-mph increments based on and interpolated from the 2023 FBC 8th Edition wind load maps, with the rule that the wind speed used for design shall be that of the highest adjacent line.",jurisdiction_amendment,VERIFIED,https://www.collier.gov/files/assets/county/v/1/building-plan-review/documents/bulletins/building-codes/ordinance-202364.pdf,"Verified against the ordinance PDF (data/corpus/ordinance-202364.pdf), Section Two + Exhibit A. Very Naples-relevant: local wind design speeds are a signature Collier amendment."
q043,"What is the maximum fine for violating the provisions of Collier County's building code ordinance, per Ordinance 2023-64?","Collier County Sec. 22-28 (Ordinance 2023-64, Section Six)","A fine not to exceed $500.00, or imprisonment not to exceed 60 days in the county jail, or both, at the discretion of the court; each day of continued violation or noncompliance is a separate offense.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-28PEVI,"Ordinance Section Six text verified in the PDF. Codified location Sec. 22-28 inferred from the Municode node title (S22-28PEVI) - glance at it when convenient."
q045,"Under Collier County LDC 4.02.03, what is the maximum area an accessory building may occupy on a residentially zoned lot?","Collier County LDC Sec. 4.02.03","Accessory buildings may not occupy more than five (5) percent of the total lot area, or more than forty (40) percent of the building envelope, whichever is lesser - except that an accessory building under 500 square feet may be built if all yard and spacing requirements are met.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code?nodeId=CH4SIDEDEST,"Verified against data/corpus/collier_ch4_4.02.03.pdf 2026-07-10."
q046,"What is the minimum rear yard setback for a one- or two-family swimming pool and/or screen enclosure on a non-waterfront lot in Collier County?","Collier County LDC Sec. 4.02.03","10 feet. The LDC 4.02.03 accessory structure table sets swimming pool and/or screen enclosure (one- and two-family) setbacks on non-waterfront/non-golf-course lots at SPS (same as principal structure) front and side, and 10 feet rear.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code?nodeId=CH4SIDEDEST,"Verified against data/corpus/collier_ch4_4.02.03.pdf 2026-07-10. Note: on waterfront lots the rear setback becomes 20 ft when the pool deck is more than 4 ft above the seawall/bank (7 ft in Isles of Capri)."
